A1BG	alpha-1-B glycoprotein 
CIB1	calcium and integrin binding 1 
CIB2	calcium and integrin binding family member 2 
CIT	citron rho-interacting serine/threonine kinase 
CKB	creatine kinase B 
CKM	creatine kinase, M-type 
CKMT1A	creatine kinase, mitochondrial 1A 
CKMT2	creatine kinase, mitochondrial 2 
CKS1B	CDC28 protein kinase regulatory subunit 1B 
CLASP1	cytoplasmic linker associated protein 1 
CLC	Charcot-Leyden crystal galectin 
CLCN2	chloride voltage-gated channel 2 
CLCN6	chloride voltage-gated channel 6 
CLCNKA	chloride voltage-gated channel Ka 
CLEC14A	C-type lectin domain containing 14A 
CLEC3B	C-type lectin domain family 3 member B 
CLEC4E	C-type lectin domain family 4 member E 
CLIC1	chloride intracellular channel 1 
CLK1	CDC like kinase 1 
CLK2	CDC like kinase 2 
CLK3	CDC like kinase 3 
CLK4	CDC like kinase 4 
CLNK	cytokine dependent hematopoietic cell linker 
CLOCK	clock circadian regulator 
CLPP	caseinolytic mitochondrial matrix peptidase proteolytic subunit 
CLPS	colipase 
CLU	clusterin 
CMA1	chymase 1 
CMAS	cytidine monophosphate N-acetylneuraminic acid synthetase 
CMPK1	cytidine/uridine monophosphate kinase 1 
CMTM8	CKLF like MARVEL transmembrane domain containing 8 
CMTR1	cap methyltransferase 1 
CNGA1	cyclic nucleotide gated channel subunit alpha 1 
CNNM2	cyclin and CBS domain divalent metal cation transport mediator 2 
CNPY4	canopy FGF signaling regulator 4 
CNR1	cannabinoid receptor 1 
CNR2	cannabinoid receptor 2 
COL1A1	collagen type I alpha 1 chain 
COL1A2	collagen type I alpha 2 chain 
COL22A1	collagen type XXII alpha 1 chain 
COL26A1	collagen type XXVI alpha 1 chain 
COL2A1	collagen type II alpha 1 chain 
COL3A1	collagen type III alpha 1 chain 
COL4A4	collagen type IV alpha 4 chain 
COMP	cartilage oligomeric matrix protein 
COMT	catechol-O-methyltransferase 
COMTD1	catechol-O-methyltransferase domain containing 1 
COPG1	coatomer protein complex subunit gamma 1 
COQ2	coenzyme Q2, polyprenyltransferase 
COQ8A	coenzyme Q8A 
COQ8B	coenzyme Q8B 
CORO7	coronin 7 
COX17	cytochrome c oxidase copper chaperone COX17 
COX4I1	cytochrome c oxidase subunit 4I1 
COX5A	cytochrome c oxidase subunit 5A 
COX5B	cytochrome c oxidase subunit 5B 
COX6A2	cytochrome c oxidase subunit 6A2 
COX6B1	cytochrome c oxidase subunit 6B1 
COX6C	cytochrome c oxidase subunit 6C 
COX7A1	cytochrome c oxidase subunit 7A1 
COX7B	cytochrome c oxidase subunit 7B 
COX7C	cytochrome c oxidase subunit 7C 
COX8A	cytochrome c oxidase subunit 8A 
CP	ceruloplasmin 
CPA1	carboxypeptidase A1 
CPA2	carboxypeptidase A2 
CPA6	carboxypeptidase A6 
CPB1	carboxypeptidase B1 
CPB2	carboxypeptidase B2 
CPD	carboxypeptidase D 
CPE	carboxypeptidase E 
CPN1	carboxypeptidase N subunit 1 
CPN2	carboxypeptidase N subunit 2 
CPNE1	copine 1 
CPOX	coproporphyrinogen oxidase 
CPQ	carboxypeptidase Q 
CPS1	carbamoyl-phosphate synthase 1 
CPT1A	carnitine palmitoyltransferase 1A 
CPT2	carnitine palmitoyltransferase 2 
CR1	complement C3b/C4b receptor 1 (Knops blood group) 
CRABP1	cellular retinoic acid binding protein 1 
CRABP2	cellular retinoic acid binding protein 2 
CRAT	carnitine O-acetyltransferase 
CRBN	cereblon 
CREB1	cAMP responsive element binding protein 1 
CREBBP	CREB binding protein 
CRH	corticotropin releasing hormone 
CRHBP	corticotropin releasing hormone binding protein 
CRHR1	corticotropin releasing hormone receptor 1 
CRHR2	corticotropin releasing hormone receptor 2 
CROT	carnitine O-octanoyltransferase 
CRP	C-reactive protein 
CRTC2	CREB regulated transcription coactivator 2 
CRY1	cryptochrome circadian regulator 1 
CRYM	crystallin mu 
CRYZ	crystallin zeta 
CS	citrate synthase 
CSAD	cysteine sulfinic acid decarboxylase 
CSF1R	colony stimulating factor 1 receptor 
CSF2	colony stimulating factor 2 
CSF2RA	colony stimulating factor 2 receptor alpha subunit 
CSF2RB	colony stimulating factor 2 receptor beta common subunit 
CSF3R	colony stimulating factor 3 receptor 
CSK	C-terminal Src kinase 
CSMD1	CUB and Sushi multiple domains 1 
CSN3	casein kappa 
CSNK1A1	casein kinase 1 alpha 1 
CSNK1E	casein kinase 1 epsilon 
CSNK1G1	casein kinase 1 gamma 1 
CSNK1G2	casein kinase 1 gamma 2 
CSNK1G3	casein kinase 1 gamma 3 
CSNK2A1	casein kinase 2 alpha 1 
CSNK2A2	casein kinase 2 alpha 2 
CSNK2A3	casein kinase 2 alpha 3 
CSNK2B	casein kinase 2 beta 
CSRNP3	cysteine and serine rich nuclear protein 3 
CSRP1	cysteine and glycine rich protein 1 
CSRP3	cysteine and glycine rich protein 3 
CST5	cystatin D 
CSTB	cystatin B 
CTBP1	C-terminal binding protein 1 
CTDSP1	CTD small phosphatase 1 
CTH	cystathionine gamma-lyase 
CTLA4	cytotoxic T-lymphocyte associated protein 4 
CTNNA2	catenin alpha 2 
CTNNA3	catenin alpha 3 
CTNNB1	catenin beta 1 
CTNS	cystinosin, lysosomal cystine transporter 
CTPS1	CTP synthase 1 
CTRB1	chymotrypsinogen B1 
CTSB	cathepsin B 
CTSD	cathepsin D 
CTSF	cathepsin F 
CTSG	cathepsin G 
CTSH	cathepsin H 
CTSK	cathepsin K 
CTSL	cathepsin L 
CTSS	cathepsin S 
CTSV	cathepsin V 
CUBN	cubilin 
CUX2	cut like homeobox 2 
CXCL10	C-X-C motif chemokine ligand 10 
CXCL12	C-X-C motif chemokine ligand 12 
CXCL5	C-X-C motif chemokine ligand 5 
CXCL8	C-X-C motif chemokine ligand 8 
CXCR1	C-X-C motif chemokine receptor 1 
CXCR4	C-X-C motif chemokine receptor 4 
CXXC4	CXXC finger protein 4 
CYB5A	cytochrome b5 type A 
CYB5B	cytochrome b5 type B 
CYB5R1	cytochrome b5 reductase 1 
CYB5R3	cytochrome b5 reductase 3 
CYBA	cytochrome b-245 alpha chain 
CYBB	cytochrome b-245 beta chain 
CYC1	cytochrome c1 
CYCS	cytochrome c, somatic 
CYCSP5	CYCS pseudogene 5 
CYP11A1	cytochrome P450 family 11 subfamily A member 1 
CYP11B1	cytochrome P450 family 11 subfamily B member 1 
CYP11B2	cytochrome P450 family 11 subfamily B member 2 
CYP17A1	cytochrome P450 family 17 subfamily A member 1 
CYP19A1	cytochrome P450 family 19 subfamily A member 1 
CYP1A1	cytochrome P450 family 1 subfamily A member 1 
CYP1A2	cytochrome P450 family 1 subfamily A member 2 
CYP1B1	cytochrome P450 family 1 subfamily B member 1 
CYP20A1	cytochrome P450 family 20 subfamily A member 1 
CYP21A2	cytochrome P450 family 21 subfamily A member 2 
CYP24A1	cytochrome P450 family 24 subfamily A member 1 
CYP26A1	cytochrome P450 family 26 subfamily A member 1 
CYP26B1	cytochrome P450 family 26 subfamily B member 1 
CYP26C1	cytochrome P450 family 26 subfamily C member 1 
CYP27A1	cytochrome P450 family 27 subfamily A member 1 
CYP27B1	cytochrome P450 family 27 subfamily B member 1 
CYP2A13	cytochrome P450 family 2 subfamily A member 13 
CYP2A6	cytochrome P450 family 2 subfamily A member 6 
CYP2A7	cytochrome P450 family 2 subfamily A member 7 
CYP2B6	cytochrome P450 family 2 subfamily B member 6 
CYP2B7P	cytochrome P450 family 2 subfamily B member 7, pseudogene 
CYP2C18	cytochrome P450 family 2 subfamily C member 18 
CYP2C19	cytochrome P450 family 2 subfamily C member 19 
CYP2C8	cytochrome P450 family 2 subfamily C member 8 
CYP2C9	cytochrome P450 family 2 subfamily C member 9 
CYP2D6	cytochrome P450 family 2 subfamily D member 6 
CYP2E1	cytochrome P450 family 2 subfamily E member 1 
CYP2F1	cytochrome P450 family 2 subfamily F member 1 
CYP2J2	cytochrome P450 family 2 subfamily J member 2 
CYP2R1	cytochrome P450 family 2 subfamily R member 1 
CYP2S1	cytochrome P450 family 2 subfamily S member 1 
CYP39A1	cytochrome P450 family 39 subfamily A member 1 
CYP3A4	cytochrome P450 family 3 subfamily A member 4 
CYP3A43	cytochrome P450 family 3 subfamily A member 43 
CYP3A5	cytochrome P450 family 3 subfamily A member 5 
CYP3A7	cytochrome P450 family 3 subfamily A member 7 
CYP46A1	cytochrome P450 family 46 subfamily A member 1 
CYP4A11	cytochrome P450 family 4 subfamily A member 11 
CYP4B1	cytochrome P450 family 4 subfamily B member 1 
CYP4F11	cytochrome P450 family 4 subfamily F member 11 
CYP4F12	cytochrome P450 family 4 subfamily F member 12 
CYP4F2	cytochrome P450 family 4 subfamily F member 2 
CYP4F8	cytochrome P450 family 4 subfamily F member 8 
CYP51A1	cytochrome P450 family 51 subfamily A member 1 
CYP7A1	cytochrome P450 family 7 subfamily A member 1 
CYP7B1	cytochrome P450 family 7 subfamily B member 1 
CYP8B1	cytochrome P450 family 8 subfamily B member 1 
CYSLTR1	cysteinyl leukotriene receptor 1 
CYSLTR2	cysteinyl leukotriene receptor 2 
CYTH2	cytohesin 2 
CYTH3	cytohesin 3 
DAGLA	diacylglycerol lipase alpha 
DAND5	DAN domain BMP antagonist family member 5 
DAO	D-amino acid oxidase 
DAOA	D-amino acid oxidase activator 
DAPK1	death associated protein kinase 1 
DAPK2	death associated protein kinase 2 
DAPK3	death associated protein kinase 3 
DAPP1	dual adaptor of phosphotyrosine and 3-phosphoinositides 1 
DARS1	aspartyl-tRNA synthetase 1 
DARS2	aspartyl-tRNA synthetase 2, mitochondrial 
DBH	dopamine beta-hydroxylase 
DBI	diazepam binding inhibitor, acyl-CoA binding protein 
DCAF4	DDB1 and CUL4 associated factor 4 
DCBLD1	discoidin, CUB and LCCL domain containing 1 
DCD	dermcidin 
DCK	deoxycytidine kinase 
DCLK1	doublecortin like kinase 1 
DCLK2	doublecortin like kinase 2 
DCLK3	doublecortin like kinase 3 
DCN	decorin 
DCPS	decapping enzyme, scavenger 
DCTD	dCMP deaminase 
DCXR	dicarbonyl and L-xylulose reductase 
DDAH1	dimethylarginine dimethylaminohydrolase 1 
DDAH2	dimethylarginine dimethylaminohydrolase 2 
DDC	dopa decarboxylase 
DDHD1	DDHD domain containing 1 
DDR1	discoidin domain receptor tyrosine kinase 1 
DDR2	discoidin domain receptor tyrosine kinase 2 
DDRGK1	DDRGK domain containing 1 
DDX39B	DExD-box helicase 39B 
DDX5	DEAD-box helicase 5 
DDX6	DEAD-box helicase 6 
DECR1	2,4-dienoyl-CoA reductase 1 
DGAT2	diacylglycerol O-acyltransferase 2 
DGKA	diacylglycerol kinase alpha 
DGKD	diacylglycerol kinase delta 
DGKG	diacylglycerol kinase gamma 
DGUOK	deoxyguanosine kinase 
DHCR7	7-dehydrocholesterol reductase 
DHFR	dihydrofolate reductase 
DHFR2	dihydrofolate reductase 2 
DHODH	dihydroorotate dehydrogenase (quinone) 
DHPS	deoxyhypusine synthase 
DHRS11	dehydrogenase/reductase 11 
DHRS3	dehydrogenase/reductase 3 
DHRS4	dehydrogenase/reductase 4 
DHRS4L1	dehydrogenase/reductase 4 like 1 
DHRS4L2	dehydrogenase/reductase 4 like 2 
DIABLO	diablo IAP-binding mitochondrial protein 
DIAPH3	diaphanous related formin 3 
DIO3	iodothyronine deiodinase 3 
DLAT	dihydrolipoamide S-acetyltransferase 
DLD	dihydrolipoamide dehydrogenase 
DLG4	discs large MAGUK scaffold protein 4 
DLG5	discs large MAGUK scaffold protein 5 
DMC1	DNA meiotic recombinase 1 
DMD	dystrophin 
DMPK	DM1 protein kinase 
DNMT1	DNA methyltransferase 1 
DNMT3A	DNA methyltransferase 3 alpha 
DNPEP	aspartyl aminopeptidase 
DNTT	DNA nucleotidylexotransferase 
DOK5	docking protein 5 
DOT1L	DOT1 like histone lysine methyltransferase 
DPEP1	dipeptidase 1 
DPH5	diphthamide biosynthesis 5 
DPP4	dipeptidyl peptidase 4 
DPYD	dihydropyrimidine dehydrogenase 
DPYS	dihydropyrimidinase 
DPYSL2	dihydropyrimidinase like 2 
DRD1	dopamine receptor D1 
DRD2	dopamine receptor D2 
DRD3	dopamine receptor D3 
DRD4	dopamine receptor D4 
DRD5	dopamine receptor D5 
DROSHA	drosha ribonuclease III 
DSCAM	DS cell adhesion molecule 
DSE	dermatan sulfate epimerase 
DSP	desmoplakin 
DSTN	destrin, actin depolymerizing factor 
DTNBP1	dystrobrevin binding protein 1 
DTYMK	deoxythymidylate kinase 
DUSP1	dual specificity phosphatase 1 
DUSP23	dual specificity phosphatase 23 
DUT	deoxyuridine triphosphatase 
DYNC2H1	dynein cytoplasmic 2 heavy chain 1 
DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A 
DYRK1B	dual specificity tyrosine phosphorylation regulated kinase 1B 
E2F7	E2F transcription factor 7 
EARS2	glutamyl-tRNA synthetase 2, mitochondrial 
EBP	EBP cholestenol delta-isomerase 
ECE1	endothelin converting enzyme 1 
ECHS1	enoyl-CoA hydratase, short chain 1 
ECI1	enoyl-CoA delta isomerase 1 
ECI2	enoyl-CoA delta isomerase 2 
ECT2L	epithelial cell transforming 2 like 
EDN1	endothelin 1 
EDNRA	endothelin receptor type A 
EDNRB	endothelin receptor type B 
EEA1	early endosome antigen 1 
EEF1A1	eukaryotic translation elongation factor 1 alpha 1 
EEF2	eukaryotic translation elongation factor 2 
EFL1	elongation factor like GTPase 1 
EGF	epidermal growth factor 
EGFR	epidermal growth factor receptor 
EGLN1	egl-9 family hypoxia inducible factor 1 
EGLN2	egl-9 family hypoxia inducible factor 2 
EGLN3	egl-9 family hypoxia inducible factor 3 
EHHADH	enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase 
EHMT2	euchromatic histone lysine methyltransferase 2 
EIF2AK1	eukaryotic translation initiation factor 2 alpha kinase 1 
EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2 
EIF2AK4	eukaryotic translation initiation factor 2 alpha kinase 4 
EIF2S3	eukaryotic translation initiation factor 2 subunit gamma 
EIF3A	eukaryotic translation initiation factor 3 subunit A 
EIF3F	eukaryotic translation initiation factor 3 subunit F 
EIF4A1	eukaryotic translation initiation factor 4A1 
EIF4E	eukaryotic translation initiation factor 4E 
EIF6	eukaryotic translation initiation factor 6 
ELANE	elastase, neutrophil expressed 
ELN	elastin 
ELOVL4	ELOVL fatty acid elongase 4 
ELOVL5	ELOVL fatty acid elongase 5 
ELP5	elongator acetyltransferase complex subunit 5 
ELSPBP1	epididymal sperm binding protein 1 
EN2	engrailed homeobox 2 
ENG	endoglin 
ENO1	enolase 1 
ENO2	enolase 2 
ENO3	enolase 3 
ENOPH1	enolase-phosphatase 1 
ENOSF1	enolase superfamily member 1 
ENOX2	ecto-NOX disulfide-thiol exchanger 2 
ENPEP	glutamyl aminopeptidase 
ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1 
EPAS1	endothelial PAS domain protein 1 
EPB41	erythrocyte membrane protein band 4.1 
EPCAM	epithelial cell adhesion molecule 
EPHA1	EPH receptor A1 
EPHA2	EPH receptor A2 
EPHA3	EPH receptor A3 
EPHA4	EPH receptor A4 
EPHA5	EPH receptor A5 
EPHA6	EPH receptor A6 
EPHA7	EPH receptor A7 
EPHA8	EPH receptor A8 
EPHB1	EPH receptor B1 
EPHB2	EPH receptor B2 
EPHB4	EPH receptor B4 
EPHB6	EPH receptor B6 
EPHX1	epoxide hydrolase 1 
EPHX2	epoxide hydrolase 2 
EPM2A	EPM2A glucan phosphatase, laforin 
EPN1	epsin 1 
EPOR	erythropoietin receptor 
EPRS1	glutamyl-prolyl-tRNA synthetase 1 
EPX	eosinophil peroxidase 
ERBB2	erb-b2 receptor tyrosine kinase 2 
ERBB3	erb-b2 receptor tyrosine kinase 3 
ERBB4	erb-b2 receptor tyrosine kinase 4 
ERCC1	ERCC excision repair 1, endonuclease non-catalytic subunit 
ERCC2	ERCC excision repair 2, TFIIH core complex helicase subunit 
ERCC3	ERCC excision repair 3, TFIIH core complex helicase subunit 
ERCC4	ERCC excision repair 4, endonuclease catalytic subunit 
ERCC5	ERCC excision repair 5, endonuclease 
ERICH3	glutamate rich 3 
ERN1	endoplasmic reticulum to nucleus signaling 1 
ERO1B	endoplasmic reticulum oxidoreductase 1 beta 
ESD	esterase D 
ESR1	estrogen receptor 1 
ESR2	estrogen receptor 2 
ESRRA	estrogen related receptor alpha 
ESRRB	estrogen related receptor beta 
ESRRG	estrogen related receptor gamma 
ESYT2	extended synaptotagmin 2 
ETFDH	electron transfer flavoprotein dehydrogenase 
EXO1	exonuclease 1 
EXTL2	exostosin like glycosyltransferase 2 
EYS	eyes shut homolog 
EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit 
F10	coagulation factor X 
F11	coagulation factor XI 
F12	coagulation factor XII 
F13A1	coagulation factor XIII A chain 
F13B	coagulation factor XIII B chain 
F2	coagulation factor II, thrombin 
F2R	coagulation factor II thrombin receptor 
F2RL3	F2R like thrombin or trypsin receptor 3 
F3	coagulation factor III, tissue factor 
F5	coagulation factor V 
F7	coagulation factor VII 
F8	coagulation factor VIII 
F9	coagulation factor IX 
FAAH	fatty acid amide hydrolase 
FABP1	fatty acid binding protein 1 
FABP2	fatty acid binding protein 2 
FABP3	fatty acid binding protein 3 
FABP4	fatty acid binding protein 4 
FABP5	fatty acid binding protein 5 
FABP6	fatty acid binding protein 6 
FABP7	fatty acid binding protein 7 
FADS1	fatty acid desaturase 1 
FADS2	fatty acid desaturase 2 
FAH	fumarylacetoacetate hydrolase 
FAM177A1	family with sequence similarity 177 member A1 
FAM178B	family with sequence similarity 178 member B 
FAP	fibroblast activation protein alpha 
FARP2	FERM, ARH/RhoGEF and pleckstrin domain protein 2 
FARS2	phenylalanyl-tRNA synthetase 2, mitochondrial 
FARSA	phenylalanyl-tRNA synthetase subunit alpha 
FARSB	phenylalanyl-tRNA synthetase subunit beta 
FASN	fatty acid synthase 
FBN2	fibrillin 2 
FBN3	fibrillin 3 
FBP1	fructose-bisphosphatase 1 
FBXL17	F-box and leucine rich repeat protein 17 
FBXL19	F-box and leucine rich repeat protein 19 
FBXO41	F-box protein 41 
FCER1A	Fc fragment of IgE receptor Ia 
FCER1G	Fc fragment of IgE receptor Ig 
FCER2	Fc fragment of IgE receptor II 
FCGR1A	Fc fragment of IgG receptor Ia 
FCGR1B	Fc fragment of IgG receptor Ib 
FCGR2A	Fc fragment of IgG receptor IIa 
FCGR2B	Fc fragment of IgG receptor IIb 
FCGR2C	Fc fragment of IgG receptor IIc (gene/pseudogene) 
FCGR3A	Fc fragment of IgG receptor IIIa 
FCGR3B	Fc fragment of IgG receptor IIIb 
FCN2	ficolin 2 
FCN3	ficolin 3 
FDFT1	farnesyl-diphosphate farnesyltransferase 1 
FDPS	farnesyl diphosphate synthase 
FDX1	ferredoxin 1 
FDXR	ferredoxin reductase 
FECH	ferrochelatase 
FEN1	flap structure-specific endonuclease 1 
FER	FER tyrosine kinase 
FES	FES proto-oncogene, tyrosine kinase 
FFAR1	free fatty acid receptor 1 
FFAR4	free fatty acid receptor 4 
FGA	fibrinogen alpha chain 
FGB	fibrinogen beta chain 
FGD4	FYVE, RhoGEF and PH domain containing 4 
FGF1	fibroblast growth factor 1 
FGF19	fibroblast growth factor 19 
FGF2	fibroblast growth factor 2 
FGF23	fibroblast growth factor 23 
FGF4	fibroblast growth factor 4 
FGFR1	fibroblast growth factor receptor 1 
FGFR2	fibroblast growth factor receptor 2 
FGFR3	fibroblast growth factor receptor 3 
FGFR4	fibroblast growth factor receptor 4 
FGG	fibrinogen gamma chain 
FGR	FGR proto-oncogene, Src family tyrosine kinase 
FHIT	fragile histidine triad diadenosine triphosphatase 
FKBP1A	FKBP prolyl isomerase 1A 
FKBP5	FKBP prolyl isomerase 5 
FLNA	filamin A 
FLT1	fms related tyrosine kinase 1 
FLT3	fms related tyrosine kinase 3 
FLT4	fms related tyrosine kinase 4 
FMO1	flavin containing dimethylaniline monoxygenase 1 
FMO2	flavin containing dimethylaniline monoxygenase 2 
FMO3	flavin containing dimethylaniline monoxygenase 3 
FMO4	flavin containing dimethylaniline monoxygenase 4 
FMO5	flavin containing dimethylaniline monoxygenase 5 
FN1	fibronectin 1 
FNTA	farnesyltransferase, CAAX box, alpha 
FNTB	farnesyltransferase, CAAX box, beta 
FOLH1	folate hydrolase 1 
FOLR1	folate receptor alpha 
FOLR2	folate receptor beta 
FOLR3	folate receptor gamma 
FOS	Fos proto-oncogene, AP-1 transcription factor subunit 
FOXF2	forkhead box F2 
FOXO1	forkhead box O1 
FOXP3	forkhead box P3 
FPGS	folylpolyglutamate synthase 
FPR1	formyl peptide receptor 1 
FRK	fyn related Src family tyrosine kinase 
FSHR	follicle stimulating hormone receptor 
FSIP1	fibrous sheath interacting protein 1 
FST	follistatin 
FTCD	formimidoyltransferase cyclodeaminase 
FTH1	ferritin heavy chain 1 
FTL	ferritin light chain 
FTO	FTO alpha-ketoglutarate dependent dioxygenase 
FUBP1	far upstream element binding protein 1 
FURIN	furin, paired basic amino acid cleaving enzyme 
FXN	frataxin 
FXR2	FMR1 autosomal homolog 2 
FXYD2	FXYD domain containing ion transport regulator 2 
FYN	FYN proto-oncogene, Src family tyrosine kinase 
G6PD	glucose-6-phosphate dehydrogenase 
GAA	glucosidase alpha, acid 
GABBR1	gamma-aminobutyric acid type B receptor subunit 1 
GABBR2	gamma-aminobutyric acid type B receptor subunit 2 
GABRA1	gamma-aminobutyric acid type A receptor alpha1 subunit 
GABRA2	gamma-aminobutyric acid type A receptor alpha2 subunit 
GABRA3	gamma-aminobutyric acid type A receptor alpha3 subunit 
GABRA4	gamma-aminobutyric acid type A receptor alpha4 subunit 
GABRA5	gamma-aminobutyric acid type A receptor alpha5 subunit 
GABRA6	gamma-aminobutyric acid type A receptor alpha6 subunit 
GABRB1	gamma-aminobutyric acid type A receptor beta1 subunit 
GABRB2	gamma-aminobutyric acid type A receptor beta2 subunit 
GABRB3	gamma-aminobutyric acid type A receptor beta3 subunit 
GABRD	gamma-aminobutyric acid type A receptor delta subunit 
GABRE	gamma-aminobutyric acid type A receptor epsilon subunit 
GABRG1	gamma-aminobutyric acid type A receptor gamma1 subunit 
GABRG2	gamma-aminobutyric acid type A receptor gamma2 subunit 
GABRG3	gamma-aminobutyric acid type A receptor gamma3 subunit 
GABRP	gamma-aminobutyric acid type A receptor pi subunit 
GABRQ	gamma-aminobutyric acid type A receptor theta subunit 
GABRR1	gamma-aminobutyric acid type A receptor rho1 subunit 
GABRR2	gamma-aminobutyric acid type A receptor rho2 subunit 
GABRR3	gamma-aminobutyric acid type A receptor rho3 subunit (gene/pseudogene) 
GAD1	glutamate decarboxylase 1 
GAD2	glutamate decarboxylase 2 
GADL1	glutamate decarboxylase like 1 
GAK	cyclin G associated kinase 
GAL	galanin and GMAP prepropeptide 
GALE	UDP-galactose-4-epimerase 
GALK1	galactokinase 1 
GALNS	galactosamine (N-acetyl)-6-sulfatase 
GALNT14	polypeptide N-acetylgalactosaminyltransferase 14 
GALNT17	polypeptide N-acetylgalactosaminyltransferase 17 
GALNT18	polypeptide N-acetylgalactosaminyltransferase 18 
GALNT2	polypeptide N-acetylgalactosaminyltransferase 2 
GALR1	galanin receptor 1 
GAMT	guanidinoacetate N-methyltransferase 
GANAB	glucosidase II alpha subunit 
GANC	glucosidase alpha, neutral C 
GAPDH	glyceraldehyde-3-phosphate dehydrogenase 
GAPDHS	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic 
GAPVD1	GTPase activating protein and VPS9 domains 1 
GARS1	glycyl-tRNA synthetase 1 
GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase 
GAST	gastrin 
GATA3	GATA binding protein 3 
GATA4	GATA binding protein 4 
GATB	glutamyl-tRNA amidotransferase subunit B 
GATM	glycine amidinotransferase 
GBA	glucosylceramidase beta 
GBP6	guanylate binding protein family member 6 
GC	GC vitamin D binding protein 
GCA	grancalcin 
GCAT	glycine C-acetyltransferase 
GCDH	glutaryl-CoA dehydrogenase 
GCG	glucagon 
GCGR	glucagon receptor 
GCH1	GTP cyclohydrolase 1 
GCK	glucokinase 
GCLC	glutamate-cysteine ligase catalytic subunit 
GCLM	glutamate-cysteine ligase modifier subunit 
GCSH	glycine cleavage system protein H 
GDF5	growth differentiation factor 5 
GDNF	glial cell derived neurotrophic factor 
GET1	guided entry of tail-anchored proteins factor 1 
GET3	guided entry of tail-anchored proteins factor 3, ATPase 
GFER	growth factor, augmenter of liver regeneration 
GFPT2	glutamine-fructose-6-phosphate transaminase 2 
GGACT	gamma-glutamylamine cyclotransferase 
GGCX	gamma-glutamyl carboxylase 
GGH	gamma-glutamyl hydrolase 
GGPS1	geranylgeranyl diphosphate synthase 1 
GGT1	gamma-glutamyltransferase 1 
GHR	growth hormone receptor 
GHRHR	growth hormone releasing hormone receptor 
GHSR	growth hormone secretagogue receptor 
GIPR	gastric inhibitory polypeptide receptor 
GJA1	gap junction protein alpha 1 
GLA	galactosidase alpha 
GLCCI1	glucocorticoid induced 1 
GLDC	glycine decarboxylase 
GLIPR1	GLI pathogenesis related 1 
GLIPR2	GLI pathogenesis related 2 
GLO1	glyoxalase I 
GLP1R	glucagon like peptide 1 receptor 
GLP2R	glucagon like peptide 2 receptor 
GLRA1	glycine receptor alpha 1 
GLRA2	glycine receptor alpha 2 
GLRA3	glycine receptor alpha 3 
GLRB	glycine receptor beta 
GLRX	glutaredoxin 
GLRX2	glutaredoxin 2 
GLS	glutaminase 
GLS2	glutaminase 2 
GLT6D1	glycosyltransferase 6 domain containing 1 
GLTP	glycolipid transfer protein 
GLUD1	glutamate dehydrogenase 1 
GLUD2	glutamate dehydrogenase 2 
GLUL	glutamate-ammonia ligase 
GLYAT	glycine-N-acyltransferase 
GLYATL1	glycine-N-acyltransferase like 1 
GLYATL2	glycine-N-acyltransferase like 2 
GM2A	GM2 ganglioside activator 
GMDS	GDP-mannose 4,6-dehydratase 
GMPR	guanosine monophosphate reductase 
GMPS	guanine monophosphate synthase 
GNAI1	G protein subunit alpha i1 
GNAS	GNAS complex locus 
GNAT1	G protein subunit alpha transducin 1 
GNB3	G protein subunit beta 3 
GNG2	G protein subunit gamma 2 
GNL3	G protein nucleolar 3 
GNLY	granulysin 
GNMT	glycine N-methyltransferase 
GNPDA1	glucosamine-6-phosphate deaminase 1 
GNRHR	gonadotropin releasing hormone receptor 
GNRHR2	gonadotropin releasing hormone receptor 2 (pseudogene) 
GOT1	glutamic-oxaloacetic transaminase 1 
GOT2	glutamic-oxaloacetic transaminase 2 
GP1BA	glycoprotein Ib platelet subunit alpha 
GP6	glycoprotein VI platelet 
GP9	glycoprotein IX platelet 
GPBAR1	G protein-coupled bile acid receptor 1 
GPD1	glycerol-3-phosphate dehydrogenase 1 
GPER1	G protein-coupled estrogen receptor 1 
GPHN	gephyrin 
GPI	glucose-6-phosphate isomerase 
GPNMB	glycoprotein nmb 
GPR119	G protein-coupled receptor 119 
GPR12	G protein-coupled receptor 12 
GPR18	G protein-coupled receptor 18 
GPR35	G protein-coupled receptor 35 
GPR55	G protein-coupled receptor 55 
GPR83	G protein-coupled receptor 83 
GPRC5A	G protein-coupled receptor class C group 5 member A 
GPT	glutamic--pyruvic transaminase 
GPT2	glutamic--pyruvic transaminase 2 
GPX1	glutathione peroxidase 1 
GPX2	glutathione peroxidase 2 
GPX3	glutathione peroxidase 3 
GPX4	glutathione peroxidase 4 
GPX5	glutathione peroxidase 5 
GPX6	glutathione peroxidase 6 
GPX7	glutathione peroxidase 7 
GPX8	glutathione peroxidase 8 (putative) 
GRAMD1B	GRAM domain containing 1B 
GRB2	growth factor receptor bound protein 2 
